C03557	NCCP(O)(O)=O
C11636	CC1(CC[CH]3([CH]1C(OC2(OC(CO)C(O)C(O)C(O)2))OC=C(C([O-])=O)3))
C01183	CN(C)(=O)c1ccccc1
C19669	C([N+])CCC[N+]CCC[N+]CCC[N+]
C01545	CCCCCCCC=O
C14148	C2(N=C(O)N=C(NC1(CC1))N=2)(N)
C21402	C=CC(C)(C)O
C03242	CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O
C00035	Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
C04268	C[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H](C[C@@H]2O)n2cc(C)c(=O)[nH]c2=O)[C@H](O)[C@@H](O)[C@@H]1N
C03448	CC1(C)C2CC(=O)C1(C)CC2O
C21602	C[N+]CC1(=CNC2(C1=CC=CC=2))
C10820	C[C@H]1[C@H]2[C@H](C[C@H]3[C@@H]4CC=C5C[C@H](CC[C@]5(C)[C@H]4CC[C@]23C)O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2O[C@@H]2O[C@@H](C)[C@H](O)[C@@H](O)[C@H]2O)O[C@]11CC[C@@H](C)CN1
C04103	CCCCCCCCCC(CCCCCCCCCCCC(O)=O)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C07544	[H][C@@]12Cc3c[nH]c4cccc(C1=C[C@H](CN2C)C(=O)N[C@]1(C)O[C@]2(O)N([C@@H](Cc5ccccc5)C(=O)N5CCC[C@@]25[H])C1=O)c34
C11395	CC(=C)[C@@H]1CC=C(C)[C@H](O)C1
C20923	CC1(CCC=C(C)CCC(C(O)(C)C)CC=C(CCC=1)C)
C13629	CC(O)(Cc1ccc(O)cc1)c1ccc(O)cc1
C00458	C(C2(C(CC(N1(C(N=C(C=C1)N)=O))O2)O))OP(OP(OP(=O)([O-])[O-])([O-])=O)([O-])=O
C01633	C(CCCCCCC)CCO
C11175	C(=O)([O-])CNC(=O)C(NC(=O)CCC([N+])C(=O)[O-])CSC1(C=CC([N+]([O-])=O)=CC([N+]([O-])=O)=1)
C18014	Oc1cc(O)c2C(=O)C(=C(O)C(=O)c2c1)c1c(O)cc(O)c2C(=O)C=C(O)C(=O)c12
C05672	C([O-])(=O)C([N+])CP([O-])(O)=O
C01100	N[C@H](COP(O)(O)=O)Cc1c[nH]cn1
C18639	CC[C@@]1(O)C[C@H](O[C@H]2C[C@@H]([C@H](O[C@H]3C[C@H](O)[C@H](O[C@@H]4O[C@@H](C)C(=O)C=C4)[C@H](C)O3)[C@H](C)O2)N(C)C)c2c(O)c3C(=O)c4c(O)cccc4C(=O)c3cc2[C@H]1C(=O)OC
C00620	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H]1O
C18802	[H][C@]1(Nc2c(N[C@H]1C)nc(N)[nH]c2=O)[C@@H](C)Nc1ccc(C[C@H](O)[C@H](O)[C@H](O)CO[C@H]2O[C@H](COP(O)(=O)O[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O)[C@@H](O)[C@H]2O)cc1
C00808	CC1(C)[C@@H]2CC[C@@]1(C)C(=O)C2
C09625	[H][C@@]12CC(C)=CC[C@@]1([H])C(C)=CC[C@H]2C(C)C
C01251	OC(=O)CC[C@@](O)(CC(O)=O)C(O)=O
C15992	[H][C@@]1(CC[C@@]2([H])[C@]3([H])C[C@@H]4O[C@@]44C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
C07114	C([O-])(=O)CC(=O)C1(C=CC=CC=1)
C08511	CCC(C)[CH]1(NC(C(C(=O)C)C(=O)1)=O)
C20603	C1(NC(=[N+])N[CH]1C(O)C(C(=O)[O-])[N+])
C18016	[H][C@@]12OC(=O)[C@@]3(C)[C@@H](O)CC[C@](C)([C@]4([H])CC[C@](C)(CC4=C1)C=C)[C@@]23[H]
C15793	CC(C)C(C)C(O)C(O)C(C)[CH]3(CC[CH]4([CH]2(CC(=O)[CH]1(CC(O)CCC(C)1[CH]2CCC(C)34))))
C03681	CC(=O)[CH]3(CC[CH]4([CH]2(CC[CH]1(CC(=O)CCC(C)1[CH]2CCC(C)34))))
C07656	CNC(C)[C@@H]1CC[C@@H](N)[C@H](O1)O[C@@H]1[C@@H](N)C[C@@H](N)[C@H](O[C@H]2OC[C@](C)(O)[C@H](NC)[C@H]2O)[C@H]1O
C04527	COC3(C(=CC(=C2(C(C(=C(C1(=CC=C(C(=C1)O)O))OC2=3)[O-])=O))O)O)
C04877	CC(C(=O)NC(C(=O)[O-])CCC(=O)NC(CCCC([N+])C(=O)[O-])C([O-])=O)NC(=O)C(C)OC1(C(O)C(CO)OC(C(NC(=O)C)1)OP([O-])(OP([O-])(OCC2(C(O)C(O)C(O2)N3(C=CC(=O)NC(=O)3)))=O)=O)
C20578	C=C1(C(=O)OCC1)
C02427	N[C@@H](CCCCNC(N)=O)C(O)=O
C01394	O[C@@H]1CO[C@H](O)[C@H](O)[C@H]1O
C04594	CCCCC[CH]1(C(O1)=CC=CCCCCCCCC([O-])=O)
C05324	N[C@@H](CCN[C@@H](CCN1CC[C@H]1C(O)=O)C(O)=O)C(O)=O
C15799	[H][C@@]12CC[C@]3([H])[C@]([H])(CC[C@]4(C)[C@]([H])(CC[C@@]34[H])[C@H](C)[C@@H](O)[C@H](O)[C@@H](C)C(C)C)[C@@]1(C)CC[C@H](O)C2
C19795	CC(C)=CCC\C(C)=C\C=C\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(/C)CCCC(C)(C)O
C02636	C(C(=O)CC(=O)[O-])[N+](C)(C)C
C11521	C(OP(=O)([O-])OP(=O)(OC1(OC(CS(=O)(=O)[O-])C(O)C(O)C(O)1))[O-])C2(C(O)C(O)C(O2)N3(C=CC(=O)NC(=O)3))
C10200	C1(OC4(C=C(O)C=CC(C2(=C1C3(C(O2)=CC(O)=CC=3)))=4))
C10116	COc1ccc(cc1O)-c1oc2cc(OC)c(O)c(O)c2c(=O)c1OC
C08591	CC(\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)C[C@@H](O)CC1(C)C
C19818	CC(C1(CCC(C=C1)=C))C
C00908	CN[C@@H]1[C@@H](O)[C@H](OC[C@]1(C)O)O[C@H]1[C@H](N)C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@@H]1O
C01056	C1(CC[CH]([N+](C)1)C2(C=NC(O)=CC=2))
C11985	CCC1(C(C)(C(C(C)C(C(C)CC(C)(C(C(C)C(C(C)C(=O)O1)OC2(CC(C)(C(C(C)O2)O)O))OC3(C(C(CC(C)O3)[N+](C)C)O))OC4(CC(C(C(C)O4)O)[N+](C)C))=O)O)O)
C03741	[CH](C(CCC([O-])=O)[N+])=O
C19690	C(SSCC(C(NCC(N)=O)=O)NC(=O)CCC([N+])C([O-])=O)C(C(NCC(N)=O)=O)NC(=O)CCC([N+])C([O-])=O
C07524	CC1(N4(C(=CN=1)CN=C(C2(=C(F)C=CC=C2))C3(=CC(Cl)=CC=C34)))
C01796	OC[C@@H](O)[C@@H](O)C=O
C00175	[Co]
C05777	CC4(C(C3(CC9%10(C(C(CCC(=O)[O-])C7(=[N+]([Ni--]26([N+]1(=C5(C(C(C1CC(=[N+]23)4)CC(=O)[O-])CCC(C5=C8(N6C(=C7)C(C(CCC(=O)[O-])8)CC([O-])=O))=O))))9))(CC(=O)N%10)C)))CCC([O-])=O)(CC(=O)N)
C16001	[Na+].[Na+].[Na+].[Na+].Nc1c(\N=N\c2ccc(cc2)S(=O)(=O)CCOS([O-])(=O)=O)c(cc2cc(c(\N=N\c3ccc(cc3)S(=O)(=O)CCOS([O-])(=O)=O)c(O)c12)S([O-])(=O)=O)S([O-])(=O)=O
C05440	[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)\C=C\C(=C)C(C)C
C01526	COc1ccn(C)c(=O)c1C#N
C16449	C\C(CO)=C\CNc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
C00483	NCCc1ccc(O)cc1
C03594	[H][C@@]1(CC[C@@]2([H])[C@]3([H])[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
C04062	C1(O)(C(O)C(OP([O-])([O-])=O)C(O)C(OP(=O)([O-])[O-])C(O)1)
C01754	CC1(C(C=CC=CCC(C)OC(CC(C(C(C(CC=O)C1)OC2(C(C(C(C(C)O2)OC3(CC(C)(C(C(C)O3)O)O))[N+](C)C)O))OC)O)=O)OC4(CCC(C(C)O4)[N+](C)C))
C10287	COC1(C=C(C=C(C=1)C=CC2(C=CC(=CC=2)O))OC)
C16710	CN(C=O)C2(CCC1(C=C(C(OC)=C(OC)C=1C3(=CC=C(OC)C(=O)C=C23))OC))
C20946	CC3(C[CH]4(C2(=CC[CH]5(C1(CCC(C([CH]1CCC(C2(CCC(CC3)4C=O)C)5C)(C)C)O)C))))C
C15720	C=CC(C)(CCC=C(C)C)C1(=CC=C3(C2(=C1NC=C2CC(CO)NC(C(C(C)C)N(C)3)=O)))
C15547	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1cc(O)c2ccccc2c1O
C00186	C[C@H](NC(=O)[C@@H]1CC(C(CSC(C)=O)N1O)c1ccc2OCOc2c1)C(=O)OCc1ccccc1
C06369	O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)CC=O
C03156	[H][C@@](O)(C(O)=O)[C@]([H])(O)[C@]([H])(O)[C@@]([H])(OC(=O)\C=C\c1ccc(O)c(OC)c1)C(O)=O
C17221	CSCCCCCC(N)C(O)=O
C02536	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO
C01557	COc1c2ccoc2cc2oc(=O)ccc12
C06628	C=12C(=CC3=C(C(O)=C(C(=C3C1O)O)C(N)=O)O)C(=C4C=CC=C(C4=C2O)O)C
C15788	CC(C)C(C)CCC(C)[CH]3(CC[CH]4([CH]2(CC(O)[CH]1(CC(O)CCC(C)1[CH]2CCC(C)34))))
C16493	[H][C@@]1(CC[C@@]2(O)C3=CC(=O)[C@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C
C19728	CC(C=CC=C(C=CC1(C(CCCC=1C)(C)C))C)=CC=CC=C(C=CC=C(C=O)C)C
C02685	C=CC3(=C8(N2([Fe++]46([N+]1(=C(C(=C(C1=CC2=C3C)C)CCC(C)=O)C=C5(N4C(C(=C5CCC(=O)C)C)=CC7(=[N+]6C(C(=C7C=C)C)=C8)))))))
C00392	C(C(C(C(C(CO)O)O)O)O)O
C21710	CC3(CC[CH]1(C(C)(C)[CH]1C2(O)([CH](CCC(C)2)3)))
C01295	CO[C@H]1[C@H](O)[C@@H](O)[C@@H](O)C(=O)[C@@H]1O
C10343	Cc1cc(O)c2C(=O)c3c(O)cc(O)cc3C(=O)c2c1
C20381	C1(O)(N=C(O)C(O)=CC=1C2(=C(O)N=C(O)C(O)=C2))
C04454	Nc1c(NC[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)[nH]c(=O)[nH]c1=O
C21198	CCCC(=O)CC(=O)NC1(CCOC(=O)1)
C11538	C[C@]1(CC(O)=O)[C@H](CCC(O)=O)C2=CC3=[N+]4C(Cc5c(CCC(O)=O)c(CC(O)=O)c6C=C7[N+]8=C(C=C1N2[Co--]48n56)[C@@H](CCC(O)=O)[C@]7(C)CC(O)=O)=C(CCC(O)=O)C3CC(O)=O
C00090	Oc1ccccc1O
C08342	C(#N)C(=C(C=CC([O-])=O)CC([O-])=O)OC1(OC(C(O)C(O)C(O)1)CO)
C21752	C(O)CSCCS(=O)(=O)[O-]
C06635	CC[C@H]1OC(=O)[C@H](C)[C@@H](O)[C@H](C)[C@@H](O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C
C15725	CCC(C)C1(C(NC(CO)C(N4(CC(C)CC(C(NC(C=NC(C(NCC(NC(CCC(N)=O)C(N1)=O)=O)=O)CC2(C=CC(=CC=2)O))CC3(C=CC(C)=CC=3))=O)4))=O)=O)
C03910	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@]1(O[C@@H]1C)C(C)C
C00518	CC(=O)NC2(C(O)C(O)C(CO)OC(OC1(C(O)C(O)C(O)OC(C(=O)[O-])1))2)
C03066	N[C@@H](C(O)CC(O)=O)C(O)=O
C21304	CC([CH]=O)CCCC(C)[CH]3(CC[CH]4([CH]2(CCC1(=CC(=O)CCC(C)1[CH]2CCC(C)34))))
C21511	CC1(CC(=O)N)(C2(=CC5(C(CCC(=O)[O-])C(C)(CC(=O)N)C6(=CC4(=C(CC(=O)[O-])C(CCC(=O)[O-])=C3(C=C8(C(CCC(=O)[O-])=C(CC(=O)[O-])C7(C=C(C(CCC(=O)[O-])1)N2[Ni--](N34)([N+]=56)[N+]=78))))))))
C21568	C1(NC(=CC=1)C2(NC(CO)=C(O)C=2))
C01092	[C@H]1([C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O[C@@H]2[C@H]([C@@H](O[C@@H]([C@@H]2O)CO)O[C@H]3[C@@H]([C@H]([C@@H](O[C@@H]3CO)*)NC(=O)C)O)O
C09811	CC(C)(C(O)C(=O)NCCC(=O)NCCSC(=O)C1(=CCCCC1))COP(=O)(OP(=O)(OCC2(C(OP([O-])(=O)[O-])C(O)C(O2)N4(C3(=C(C(N)=NC=N3)N=C4))))[O-])[O-]
C07208	Cc1cccc(C)c1
C05376	COC4(C=CC(C1(C(=O)C2(=C(OC=1)C=C(C=C(O)2)OC3(C(C(O)C(O)C(O3)CO)O))))=CC=4)
C02483	CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@]1(C)CCc2cc(O)c(C)c(C)c2O1
C00547	NC[C@H](O)c1ccc(O)c(O)c1
C02807	O=c1c2cccc3cccc(c23)c1=O
C07330	CC(C)=CC=O
C00858	COc1ccc(cc1)-c1coc2cc(O)ccc2c1=O
C09285	COC1(C(OC)=C3(C(=C2(C=1OC=C2))OC(C=C3)=O))
C17707	NC[C@@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@@H](O[C@@H]3[C@@H](O)[C@H](N)C[C@H](N)[C@H]3O[C@H]3O[C@H](CO)[C@@H](O)C[C@H]3N)[C@@H]2O)[C@H](N)[C@@H](O)[C@@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
C06820	CC(C)CC(N)C(O)=O.NC(Cc1ccccc1)C(O)=O.NC(Cc1ccc(O)cc1)C(O)=O.NC(Cc1c[nH]c2ccccc12)C(O)=O
C01249	OC1C=Cc2c(O)cc(nc2C1O)C(O)=O
C11472	[H][C@@]1(OC(OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O)[C@H](O)COP(O)(O)=O
C00740	N[C@H](CO)C(O)=O
C01187	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CC(=O)C([O-])=O
C10443	COc1cc(CCc2ccc3OCOc3c2)nc2ccccc12
C17326	CC1(OC(C(CC1=O)O)OP([O-])(=O)OP(OCC3(C(C(C(N2(C(N=C(C=C2)N)=O))O3)O)O))([O-])=O)
C06001	CCCCCCCCCCC[C@H](O)CC(O)=O
C20359	CC(=O)NC1(C(C(C(C(=O)[O-])OC1OP([O-])(=O)OP([O-])(OCC3(OC(N2(C(NC(=O)C=C2)=O))C(O)C3O))=O)O)[N+])
C04071	C(COP(=O)([O-])OC)NC(=[N+])N
C16309	[H]C(=O)\C=C\CCCCCCCCC(O)=O
C15687	CC2(CC(C)CC(C)C(C(C#N)=CC=CCC(C1(CCCC(C([O-])=O)1))OC(CC(C(C)C2)O)=O)O)
C00632	Nc1c(O)cccc1C([O-])=O
C04712	[H][C@]12SCC(COC(C)=O)=C(N1C(=O)[C@H]2NC(=O)CCCC(=O)C(O)=O)C(O)=O
C18179	CCC=CCC(O)C(O)C=CC=CC=CC=CC(O)CC=CCCC(=O)[O-]
C18220	CC(C3(CCC2(C1(C(C(CCC1)(C=O)C)CCC=2C=3)C)))C
C03711	CNCC(O)c1ccccc1
C01680	C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(O)=O
C04592	CC1=CC=C[C@H](O)[C@@H]1O
C00254	O[C@H]1C=C[C@](CC(=O)C([O-])=O)(C=C1)C([O-])=O
C06068	C[N+]4(CC(CO)=C[CH]1([CH](CC3(C2(=C1C=CC=C2NC=3)))4))
C20339	CC(=O)N(C)C
C15494	CCCCCCCCCCC1(C(C(=C(OC)C(C(C)=1)=O)OC)=O)
C16146	CC(C)=CCCC(C)=CC=CC(C)=CC=CC=C(C)C=CC=C(C)C=CC=C(C)C([O-])=O
C02161	C1(C=CC2(=C(C=1)N=C3(C=C(C(=O)C=C(O2)3)N)))
C19969	C(C3(C(CC(N2(C1(=C(C(N)=NC(=O)N1)N=C2)))O3)O))OP(OP(OP([O-])(=O)[O-])([O-])=O)([O-])=O
C03619	CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
C12096	C(C6(OC(OC1(=CC(=CC2([O+]=C(C(=CC1=2)OC3(OC(C(C(C3O)O)O)COC(C=CC4(C=CC(=CC=4)O))=O))C5(=CC(=C(C=C5)O)O)))[O-]))C(C(C6O)O)O))O
C00956	N[C@@H](CCCC(O)=O)C(O)=O
C01517	CC(C([O-])=O)C1(=CC=C2(C(=C1)C=CC(OC)=C2))
C15798	[H][C@@]12CC[C@@]3([H])[C@]4([H])CC[C@]([H])([C@H](C)[C@@H](O)C[C@@H](C)C(C)C)[C@@]4(C)CC[C@]3([H])[C@@]1(C)CC[C@H](O)C2
C03314	OC(=O)c1nc2[nH]c(=O)[nH]c(=O)c2[nH]1
C01718	NC(CC(=O)c1ccccc1N)C(O)=O
C00021	N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)C(O)=O
C02868	Cc1cc(O)cc(O)c1C(=O)Oc1cc(C)c(C(O)=O)c(O)c1
C06427	CCC=CCC=CCC=CCCCCCCCC(=O)[O-]
C15583	C1(=CC=C(C=C1)CC([O-])=O)
C08614	CC(\C=C\C=C(C)\C=C\[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/[C@@]12O[C@]1(C)C[C@@H](O)CC2(C)C
C17243	CSCCCC(=NO)S
C01121	NC(=N)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](OP(O)(O)=O)[C@H](NC(N)=N)[C@H]1O
C03354	CSCCCN
C21429	C=CC2(C(C)=C4(C=C9(C(C)C(CCC(=O)[O-])C5(=N([Mg]36(N1(=C(C(CC(C)C)=C(C)C1=CC=2N34)C=C7(C(CC)=C8(C(=O)[C-]C5=C(N67)8)))))9))))
C11811	C\C(CO)=C/COP(O)(=O)OP(O)(O)=O
C00887	N#N=O
C18154	CCC5(=C(C)C9(N6([Mg]27(N1(C(C(C)C(CCC(=O)[O-])C=1C4([C-](C(OC)=O)C(=O)C3(=C(C)C(N2C3=4)=CC5=6)))=CC8(=C(C)C(C(C)O)=C(N78)C=9))))))
C06432	CC(C(=O)NC(C(=O)[O-])CCC(=O)NC(CCCC[N+])C(NC(C)C(=O)[O-])=O)NC(=O)C(C)OC1(C(O)C(CO)OC(C(NC(=O)C)1)OP(OP(OCC2(OC(C(O)C(O)2)N3(C=CC(=O)NC(=O)3)))([O-])=O)([O-])=O)
C19869	CC(C=CC=C(C)C(=O)[O-])=CC=CC=C(C)C=CC=C(C)C(=O)OC1(OC(C(C(C1O)O)O)COC2(C(C(O)C(C(CO)O2)O)O))
C02982	CC(C)CCCC(C)CCCC(C)CCCC(C)[C@H](O)C(O)=O
C16519	O[C@@H]1[C@@H](OC(=C)C(O)=O)C=C[C@@H]([C@H]1C(O)=O)C(=O)CCC(O)=O
C03064	C(O)C(=O)C(O)C(=O)[O-]
C19700	C1(C=C(C5(=C(C=1)C4(C2(C(NC(C=2C6(C3(C=CC=C(C=3N(C(C=4N5)=6)C7(C(C(C(C(CO)O7)O)O)O))Cl)))=O)=O))))Cl)
C00074	OC(=O)C(=C)OP(O)(O)=O
C03947	OCC1COP(O)(=O)O1
C10041	Oc1ccc2c(c1)oc(-c1ccc(O)c(O)c1)c(O)c2=O
C19939	CC1(CCC3(C(C=O)=CC2(CC(C)(C)CC123)))
C06452	CC(O)CP(O)(=O)[O-]
C12127	O[C@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1
C04367	OC(Cc1cc(I)c(O)c(I)c1)C(O)=O
C00446	OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O
C21420	COC1(C=CC(CO)=CC(OC)=1)
C10646	COc1cc(C[C@H]2CO[C@@H]([C@H]2CO)c2ccc(O)c(OC)c2)ccc1O
C21782	CC(CCC(O)C(O)(C)C)[CH]1(CCC4(C1(C)CC(O)C2(C)([CH](CC=C3(C(C)(C)C(O)CC[CH]23))4))C)
C00835	CC(O)C(=O)C1=Nc2c(NC1)nc(N)[nH]c2=O
C09821	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C1=CCCCC1=O
C01015	O[C@@H]1CN[C@@H](C1)C(O)=O
C00108	Nc1ccccc1C(O)=O
C05294	CC13(C(O)CC[CH]1[CH]2(CCC4(C(CO)([CH]2CC3)CCC(=O)C=4)))
C20774	CC3(C(O)C(C(C(OP(OP(OCC1(C(C(C(O1)N2(C=CC(NC2=O)=O))O)O))([O-])=O)([O-])=O)O3)NC(C)=O)O)
C06594	Clc1ccc(Cl)c(Cl)c1
C18759	CC(C)N(C(=O)CCl)c1ccccc1
C02362	NC(=O)CC(=O)C(O)=O
C11481	OS(=O)[O-]
C01138	CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@@H](O[C@@H](C)[C@]1(O)C=O)O[C@H]1[C@H](O)[C@@H](OP(O)(O)=O)[C@H](NC(N)=N)[C@@H](O)[C@@H]1NC(N)=N
C04823	Nc1c(ncn1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O)C(=O)N[C@@H](CC(O)=O)C(O)=O
C04767	C[C@@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](OP(O)(O)=O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)[C@H](O)[C@@]1(O)CO
C03739	O[C@@H]1CCCC[C@H]1O
C00331	C([O-])(=O)C(=O)CC1(=CNC2(C=CC=CC1=2))
C10043	O=c1cc(oc2ccccc12)-c1ccccc1
C01345	O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)n1cnc2c1nc[nH]c2=O
C16259	[H][C@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])C[C@H](O)[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCCOS(O)(=O)=O
C20919	CC(O)C(C([O-])=O)NC(=O)[CH]1(CCC(O)(C[N+])C(=O)N1)
C01918	CC3(O)(COC(OC2(C([N+])CC([N+])C(OC1(OC(CCC([N+])1)C([R1])[N+][R2]))C(O)2))C(O)C([N+]C)3)
C00899	CC(/C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C)=C\CO
C04780	CC\C=C/C[C@@H]1[C@H](CCCCCCCC([O-])=O)CCC1=O
C00845	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)c1ccco1
C03267	OC[C@H]1O[C@@](CO)(OP(O)(O)=O)[C@@H](O)[C@@H]1O
C03827	C[C@H](O)[C@@H](O)CC(=O)C(O)=O
C06315	CCCCC[C@H](O)[C@H](O)\C=C\C=C\C=C/C=C/[C@@H](O)CCCC(O)=O
C21288	CC(C(O)C([O-])=O)C2(=CNC1(=C(C=CC=C1)2))
C04858	OC[C@H]1O[C@@H](Oc2cc(O)c3c(c2)oc(cc3=O)-c2ccc(O)cc2)[C@H](O[C@@H]2OC[C@](O)(CO)[C@H]2O)[C@@H](O)[C@@H]1O
C00500	C=CC1(C(NC(C(C)=1)=O)=CC4(=C(C)C(=C(C=C3(N=C(C=C2(C(C)=C(C=C)C(N2)=O))C(C)=C3CCC([O-])=O))N4)CCC([O-])=O))
C12321	CC1(=CN(C(=O)NC(=O)1)C3(CC(O)C(COP([O-])(=O)OP([O-])(=O)OC2(OC(C)C(O)C(C)([N+])C2))O3))
C00135	C1(NC=NC=1CC(C(=O)[O-])[N+])
C09321	C1(=CC=C(C=C1)C(=O)C=CC2(=C(O)C=CC=C2))
C02010	CN(CC[C@H](N)CC(=O)N[C@H]1C=C[C@@H](O[C@@H]1C(O)=O)n1ccc(N)nc1=O)C(N)=N
C01011	CC(C(O)C(=O)NCCC(NCCSC(=O)CC(C)(O)C([O-])=O)=O)(C)COP(OP(OCC3(OC(N1(C2(=C(N=C1)C(N)=NC=N2)))C(C(OP(=O)([O-])[O-])3)O))([O-])=O)([O-])=O
C03574	[H]C(=O)Nc1ccccc1C([H])=O
C18063	CCc1c(C)c2cc3[nH]c(cc4nc([C@@H](CCC(O)=O)[C@@H]4C)c4[C@@H](C(O)=O)C(=O)c5c(C)c(cc1n2)[nH]c45)c(C)c3C=C
C07836	CCCCCCCCC(O)C(O)CCCCCCCC(O)=O
C02266	O[C@@H]1COC(=O)[C@H](O)[C@H]1O
C06156	N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(O)=O
C08945	CC(C)=CCC[C@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O)C(C)(C)[C@@H]3[C@H](C[C@@]21C)O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
C06973	[H][C@@]12[C@@H](C)c3cccc(O)c3C(=O)C1=C(O)[C@]1(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@]1([H])[C@H]2O
C21138	CCCCCC=C[CH]=O
C05431	CC(C)=CCC\C(C)=C\CC\C(C)=C\C=C\C(C)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(/C)CCC=C(C)C
C02954	[H][C@@]1(N)C(=O)N2[C@]1([H])SC(C)(C)[C@]2([H])C([O-])=O
C04115	OC(=O)CC(O)(CC(=O)C(O)=O)C(O)=O
C18004	NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O)[C@H]2O[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)[C@H](N)[C@@H](O)[C@@H]1O
C11408	CC(=C)[C@H]1CC=C(C)[C@@H](O)C1
