C03557	NCCP(O)(O)=O
C01722	C(C(C(C(C(CO)O)O)O)O)O
C21637	COC1(=C(O)C=C2(CN4(CCC3(C(=C1)2)(CCC(C[CH]34)O))))
C00197	O[C@H](COP(O)(O)=O)C(O)=O
C20569	C(O)C1(C(O)C(O)C(O)O1)
C06079	CC3(C(OC(=O)C)C4(OC(C2(C(C)(CC1(OC(C)(C=O)1)C(=O)C=2)3))4))
C01965	C=1(CC=2C(=NC(N)=NC2)N)C=C(C(OC)=C(C1)OC)OC
C04895	Nc1nc2NCC(=Nc2c(=O)[nH]1)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OP(O)(O)=O
C01113	OC1O[C@H](COP(O)(O)=O)[C@H](O)[C@H](O)[C@H]1O
C08481	OC[C@H]1O[C@@H](Oc2c[nH]c3ccccc23)[C@H](O)[C@@H](O)[C@@H]1O
C16844	[O][H]
C21646	CC1(C=C3(C(=CC(N)=1)N(CC(O)C(O)C(O)CO)C2(C(C(=O)[N-]C(=O)N=2)=N3)))
C17621	C\C(CO)=C/CC\C(C)=C\CO
C19730	CC(C=CC=C([CH]=O)C)=CC=CC=C(C=CC=C([CH]=O)C)C
C04204	OC[C@H](NC(=O)c1cccc(O)c1O)C(O)=O
C01894	[H][C@@]12CS[C@H](CCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]3O[C@H]([C@H](O)[C@@H]3OP(O)(O)=O)n3cnc4c(N)ncnc34)[C@]1([H])NC(=O)N2
C04742	CCCCC[C@H](O)\C=C\C=C/C\C=C/C\C=C/CCCC(O)=O
C02243	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c1N=CNCC2=O
C20715	CC(=CCCC([CH]1([CH]2(C(C)(CC1)C3(C)(CC[CH]4(C(C(O)CCC(C)([CH](CC(O)2)3)4)(C)C)))))(C)O)C
C00708	[I-]
C00941	Nc1ccn([C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)c(=O)n1
C20228	C1(=CC=C(C=C1)C(C(=O)C2(=CC=CC=C2))O)
C00043	CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1ccc(=O)[nH]c1=O
C00566	CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)n1cnc2c(N)ncnc12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C[C@](O)(CC(O)=O)C(O)=O
C11692	C(O)C1(C2(OC4(O)(OC1C(O)C3(NC(N)NC(O)[CH]23)(C(O)4))))(O)
C15789	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CC(=O)[C@@]4([H])C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CC[C@@H](C)C(C)C
C05906	O[C@H]1[C@@H](O)c2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1
C05140	[H][C@@]12CCC3=CC(=O)CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=O)[C@H](O)C[C@@]21[H]
C15745	CCC(C)C1(C(=O)OC(C)C(C(NC(C(NC3(C(N(C(C(N(C)C(C(N1)=O)CC2(C=CC=CC=2))=O)C(C)O)C(CC3)O)=O))=O)CC4(C=CC(CC4)O))=O)NC(C(CCC(N)=O)NC(C(C(C)O)NC(C(CC5(C=CC(=CC=5)O))O)=O)=O)=O)
C00213	CNCC(O)=O
C11410	C[C@@H]1CC[C@@H](C[C@@H]1O)C(C)=C
C07290	CC(C)=CCC1(C(O)=C2(C(=O)C(=COC(=CC(OC)=1)2)C3(=CC=C(O)C=C(O)3)))
C00536	OP(O)(=O)OP(O)(=O)OP(O)(O)=O
C20720	CC(C)CC(C(NC9(C(NC(CC(N)=O)C(NC5(C(NC3(C(NC(C(NC(C(=O)[O-])C1(=CC(=CC(=C1C2(C(=CC=C(C=2)3)O))O)O))=O)C(C4(=CC(Cl)=C(C=C4)OC6(C=C5C=C(C=6OC7(C(C(C(C(CO)O7)O)O)O))OC8(=C(Cl)C=C(C=C8)C9O))))O)=O))=O))=O)=O))=O)[N+]C
C15859	CC(=CC=CC=C(C=CC=C(C=CC1(C(C)(C)CCCC=1C))C)C)C=CC=C(C=CC=C(CCCC(O)(C)C)C)C
C00990	C(=O)(CCCC[N+])N
C02710	[C@@H](CC(C)C)(NC(=O)C)C(O)=O
C01096	C(C(C(C(C(COP([O-])([O-])=O)O)O)O)O)O
C21293	C(C1(C(C(C(C(C=1)[N+]C2(C(C(C(C(C(O)2)CO)OC3(OC(C(C(C3O)O)O)CO))O)O))O)O)O))O
C03717	C=1(C=CC(=CC1)O)C=2C=NC(=C(N2)CC=3C=CC=CC3)NC(=O)CC=4C=CC=CC4
C12629	CC1(OC(C(C(C(O)1)O)O)OC2(C(C(O)C(CO)OC2C5(C(OC)=CC(O)=C4(C(=O)C=C(C3(C=CC(O)=CC=3))OC4=5)))O))
C06912	[H][C@@]1(C[C@@](C)(OC)[C@@H](O)[C@H](C)O1)O[C@H]1[C@H](C)[C@@H](O[C@]2([H])O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@](C)(O)[C@@H](CC)OC(=O)[C@@H]1C)OC
C09094	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CO
C04105	OC(=O)CC1OC(=O)C=C1
